time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,170214,170194.841,0.001535,0.018431,0.117247,227.540991,279534,1056,0.996237
2.000,6.668,1542491,771146.902,0.001535,0.022527,0.096255,227.540991,1542179,1056,0.999316
3.000,10.001,2911775,970488.767,0.001535,0.022015,0.097791,227.540991,2911218,1056,0.999637
4.000,13.335,4284122,1070922.154,0.001535,0.022527,0.097279,227.540991,4283698,1056,0.999754
5.000,16.668,5662169,1132325.725,0.001535,0.022527,0.097791,227.540991,5661609,1056,0.999814
6.001,20.002,6999997,1166561.314,0.001535,0.023039,0.097791,227.540991,6999750,1056,0.999849
7.001,23.335,8341542,1191546.922,0.001535,0.023039,0.097279,227.540991,8341660,1056,0.999873
8.001,26.669,9684970,1210513.472,0.001535,0.023039,0.097791,227.540991,9684609,1056,0.999891
9.001,30.004,11049005,1227516.681,0.001535,0.023039,0.097791,227.540991,11048447,1056,0.999904
10.001,33.337,12395181,1239373.968,0.001535,0.023039,0.097791,227.540991,12395233,1056,0.999915
11.002,36.673,13758406,1250559.517,0.001535,0.023551,0.097791,227.540991,13758287,1056,0.999923
12.002,40.006,15103488,1258428.950,0.001535,0.023551,0.097791,227.540991,15102945,1056,0.999930
13.002,43.340,16446468,1264926.289,0.001535,0.023551,0.097791,227.540991,16446106,1056,0.999936
14.002,46.673,17776676,1269583.220,0.001535,0.023551,0.097791,227.540991,17776196,1056,0.999941
15.002,50.007,19109413,1273788.015,0.001535,0.023551,0.097791,227.540991,19109699,1056,0.999945
16.002,53.340,20465028,1278892.729,0.001535,0.023551,0.097791,227.540991,20464293,1056,0.999948
17.002,56.674,21815782,1283109.835,0.001535,0.023551,0.098303,227.540991,21815346,1056,0.999952
18.002,60.008,23135972,1285165.424,0.001535,0.023551,0.097791,227.540991,23135641,1056,0.999954
19.002,63.341,24483272,1288430.569,0.001535,0.023551,0.098303,227.540991,24483512,1056,0.999957
20.002,66.675,25794220,1289552.205,0.001535,0.023551,0.098303,227.540991,25793888,1056,0.999959
21.003,70.008,27118699,1291211.536,0.001535,0.023551,0.098303,227.540991,27117892,1056,0.999961
22.003,73.342,28433166,1292263.699,0.001535,0.023551,0.098303,227.540991,28432785,1056,0.999963
23.003,76.676,29749273,1293288.473,0.001535,0.023551,0.098303,227.540991,29749748,1056,0.999965
24.003,80.010,31069112,1294389.968,0.001535,0.023551,0.098815,227.540991,31071254,1056,0.999966
25.003,83.343,32410366,1296261.247,0.001535,0.023551,0.098815,227.540991,32409932,1056,0.999967
26.003,86.677,33737576,1297448.117,0.001535,0.023551,0.098815,227.540991,33737527,1056,0.999969
27.003,90.010,35064725,1298545.041,0.001535,0.023551,0.098815,227.540991,35064804,1056,0.999970
28.003,93.344,36402985,1299959.890,0.001535,0.023551,0.098815,227.540991,36402270,1056,0.999971
29.003,96.678,37726639,1300772.455,0.001535,0.023551,0.098815,227.540991,37726387,1056,0.999972
30.003,100.000,39054614,1301676.500,0.001535,0.023551,0.099327,227.540991,39055085,1056,0.999973
