time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1832,1831.484,10.043391,15.777791,23.232511,251.265023,894,958,0.482721
2.000,6.668,1239283,619552.188,0.001535,0.020479,0.115711,251.265023,1243672,1014,0.999185
3.000,10.001,2515104,838269.291,0.001535,0.020991,0.115199,251.265023,2515742,1014,0.999597
4.001,13.336,3811124,952599.504,0.001535,0.021503,0.112639,251.265023,3812100,1014,0.999734
5.001,16.669,5084833,1016799.693,0.001535,0.021503,0.111103,251.265023,5084740,1014,0.999801
6.001,20.003,6372036,1061849.826,0.001535,0.022015,0.110079,251.265023,6372248,1014,0.999841
7.001,23.336,7664899,1094838.006,0.001535,0.022015,0.110591,251.265023,7665019,1014,0.999868
8.001,26.670,8937442,1117039.999,0.001535,0.021503,0.111103,251.265023,8937291,1014,0.999887
9.001,30.004,10228146,1136325.771,0.001535,0.021503,0.111103,251.265023,10229854,1014,0.999901
10.001,33.337,11511507,1151014.258,0.001535,0.020991,0.112127,251.265023,11511756,1014,0.999912
11.001,36.671,12790202,1162612.101,0.001535,0.020991,0.112127,251.265023,12790119,1014,0.999921
12.001,40.004,14047447,1170491.487,0.001535,0.020991,0.111615,251.265023,14046920,1014,0.999928
13.001,43.338,15319230,1178276.623,0.001535,0.020991,0.111615,251.265023,15319140,1014,0.999934
14.001,46.671,16592771,1185075.419,0.001535,0.020991,0.112127,251.265023,16595188,1014,0.999939
15.002,50.005,17863866,1190804.702,0.001535,0.020991,0.112127,251.265023,17864214,1014,0.999943
16.002,53.339,19138396,1196032.517,0.001535,0.020991,0.112127,251.265023,19140408,1014,0.999947
17.002,56.672,20418005,1200940.679,0.001535,0.020991,0.112127,251.265023,20419202,1014,0.999950
18.002,60.006,21697273,1205287.548,0.001535,0.020991,0.112127,251.265023,21698120,1014,0.999953
19.002,63.340,22959158,1208259.071,0.001535,0.020991,0.112127,251.265023,22959103,1014,0.999956
20.002,66.673,24241772,1211972.811,0.001535,0.020991,0.112127,251.265023,24241237,1014,0.999958
21.002,70.007,25511452,1214712.389,0.001535,0.020991,0.112127,251.265023,25510849,1014,0.999960
22.002,73.340,26753945,1215971.639,0.001535,0.020991,0.112639,251.265023,26753978,1014,0.999962
23.002,76.674,28030530,1218603.615,0.001535,0.020991,0.112639,251.265023,28030336,1014,0.999964
24.002,80.008,29276330,1219731.398,0.001535,0.020991,0.112127,251.265023,29276480,1014,0.999965
25.002,83.341,30534480,1221262.010,0.001535,0.020991,0.112127,251.265023,30534675,1014,0.999967
26.002,86.675,31792677,1222678.181,0.001535,0.020991,0.112127,251.265023,31793823,1014,0.999968
27.003,90.008,33055118,1224148.056,0.001535,0.020991,0.112127,251.265023,33054878,1014,0.999969
28.003,93.342,34311772,1225303.194,0.001535,0.020991,0.112127,251.265023,34311528,1014,0.999970
29.003,96.676,35569885,1226432.992,0.001535,0.020991,0.112127,251.265023,35570032,1014,0.999971
30.004,100.000,36830770,1227532.082,0.001535,0.020991,0.112127,251.265023,36830277,1014,0.999972
