time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,8683,8682.013,1.796095,4.110335,5.816319,53.837823,4278,4454,0.489922
2.000,6.668,16327,8161.717,2.075647,4.231167,5.816319,53.837823,7381,9001,0.450555
3.001,10.002,24036,8010.504,2.136063,4.255743,5.877759,53.837823,10426,13650,0.433045
4.001,13.336,33186,8295.140,2.041855,4.235263,5.873663,53.837823,15024,18201,0.452190
5.001,16.669,42175,8433.636,1.989631,4.235263,5.935103,53.837823,19485,22738,0.461478
6.001,20.003,51286,8546.355,1.954815,4.227071,5.955583,53.837823,24001,27323,0.467637
7.001,23.337,60936,8703.842,1.919999,4.182015,5.902335,53.837823,28903,32078,0.473967
8.001,26.671,69932,8740.240,1.901567,4.190207,5.931007,53.837823,33390,36576,0.477232
9.002,30.005,79188,8797.097,1.892351,4.165631,5.926911,53.837823,37979,41249,0.479363
10.002,33.339,88739,8872.407,1.873919,4.145151,5.877759,53.837823,42840,45939,0.482547
11.002,36.673,97973,8905.071,1.856511,4.149247,5.881855,53.837823,47492,50507,0.484617
12.002,40.007,107293,8939.554,1.840127,4.145151,5.881855,53.837823,52208,55145,0.486321
13.002,43.341,116635,8970.435,1.827839,4.143103,5.877759,53.837823,56862,59808,0.487375
14.002,46.674,125944,8994.525,1.821695,4.130815,5.857279,53.837823,61486,64487,0.488089
15.002,50.008,134772,8983.329,1.817599,4.147199,5.873663,53.837823,65866,68948,0.488569
16.003,53.342,144157,9008.390,1.805311,4.143103,5.877759,53.837823,70585,73602,0.489538
17.003,56.676,153539,9030.290,1.791999,4.143103,5.873663,53.837823,75399,78193,0.490904
18.003,60.009,162704,9037.725,1.787903,4.141055,5.877759,53.837823,79937,82819,0.491146
19.003,63.343,171558,9028.001,1.780735,4.153343,5.890047,53.837823,84370,87227,0.491675
20.003,66.677,180851,9041.183,1.770495,4.151295,5.885951,53.837823,89089,91803,0.492498
21.003,70.010,190317,9061.357,1.759231,4.149247,5.877759,53.837823,93877,96475,0.493176
22.003,73.344,199461,9065.080,1.753087,4.149247,5.898239,53.837823,98470,101029,0.493586
23.004,76.678,208893,9080.916,1.739775,4.145151,5.885951,53.837823,103292,105629,0.494407
24.004,80.012,218125,9087.167,1.731583,4.149247,5.885951,53.837823,107963,110201,0.494871
25.004,83.346,227238,9088.166,1.724415,4.155391,5.890047,53.837823,112569,114703,0.495305
26.004,86.679,236366,9089.662,1.721343,4.161535,5.885951,53.837823,117154,119247,0.495573
27.004,90.013,245084,9075.858,1.726463,4.165631,5.890047,53.837823,121407,123711,0.495300
28.004,93.347,254348,9082.550,1.722367,4.163583,5.881855,53.837823,126043,128337,0.495491
29.004,96.680,263423,9082.260,1.721343,4.165631,5.877759,53.837823,130564,132886,0.495593
30.004,100.000,269533,8983.170,1.719295,4.163583,5.885951,131.071999,133634,135937,0.495728
