time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,7608,7606.697,1.784831,4.648959,6.930431,90.505215,3792,3834,0.497246
2.000,6.668,14848,7422.952,2.109439,4.861951,7.319551,90.505215,7082,7786,0.476325
3.000,10.001,23986,7994.282,0.002559,4.866047,7.294975,90.505215,12428,11681,0.515492
4.000,13.335,53176,13292.386,0.001535,4.427775,7.032831,90.505215,38004,15328,0.712593
5.001,16.669,92597,18516.898,0.001023,4.026367,6.516735,90.505215,73409,19376,0.791173
6.001,20.003,134711,22448.903,0.001023,3.772415,6.143999,90.505215,111369,23567,0.825347
7.001,23.337,175504,25068.508,0.001023,3.573759,5.939199,90.505215,147899,27735,0.842086
8.001,26.670,213922,26736.597,0.001023,3.426303,5.939199,90.505215,182523,31544,0.852644
9.001,30.004,252183,28016.684,0.001023,3.262463,5.906431,90.505215,216916,35428,0.859604
10.001,33.337,290806,29076.970,0.001023,3.098623,5.865471,90.505215,251601,39374,0.864683
11.002,36.672,325808,29614.657,0.001023,3.000319,5.939199,90.505215,283032,42947,0.868252
12.002,40.006,360012,29996.794,0.001023,2.928639,6.025215,90.505215,313804,46442,0.871083
13.002,43.339,394937,30375.557,0.001023,2.859007,6.066175,90.505215,345159,49996,0.873477
14.002,46.673,432051,30856.599,0.001023,2.793471,6.045695,90.505215,378576,53754,0.875664
15.002,50.007,469727,31310.608,0.001023,2.736127,6.021119,90.505215,412373,57545,0.877542
16.002,53.341,505203,31570.737,0.001023,2.693119,6.049791,90.505215,444244,61081,0.879125
17.002,56.675,542091,31883.181,0.001023,2.654207,6.033407,90.505215,477323,64906,0.880298
18.003,60.009,575538,31969.740,0.001023,2.631679,6.074367,90.505215,507407,68303,0.881359
19.003,63.342,612784,32247.239,0.001023,2.598911,6.070271,90.505215,540970,72043,0.882477
20.003,66.676,651489,32569.900,0.001023,2.570239,6.037503,90.505215,575666,76012,0.883360
21.003,70.010,689939,32849.687,0.001023,2.545663,6.012927,90.505215,610248,79927,0.884193
22.003,73.344,722788,32849.017,0.001023,2.537471,6.045695,90.505215,639640,83313,0.884760
23.003,76.678,759153,33001.731,0.001023,2.521087,6.053887,90.505215,672375,86933,0.885510
24.004,80.012,787958,32826.588,0.001023,2.519039,6.139903,90.505215,698217,89927,0.885900
25.004,83.346,819681,32782.346,0.001023,2.510847,6.197247,90.505215,726678,93196,0.886329
26.004,86.679,860785,33102.263,0.001023,2.488319,6.152191,90.505215,763668,97304,0.886984
27.004,90.013,901865,33397.481,0.001023,2.469887,6.103039,90.505215,800672,101424,0.887569
28.004,93.347,939345,33543.084,0.001023,2.457599,6.090751,90.505215,834454,105154,0.888087
29.004,96.681,974043,33582.778,0.001023,2.449407,6.111231,90.505215,865614,108683,0.888450
30.004,100.000,1006441,33543.178,0.001023,2.445311,6.143999,90.505215,894494,112052,0.888677
