time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,1639855,1639701.527,0.000511,0.000511,0.000511,28.655615,1662174,1046,0.999371
2.000,6.668,3847123,1923108.652,0.000511,0.000511,0.000511,28.655615,3863243,1046,0.999729
3.001,10.002,5980822,1993245.172,0.000511,0.000511,0.000511,28.655615,5992123,1046,0.999825
4.001,13.335,8209637,2052089.520,0.000511,0.000511,0.000511,28.655615,8262369,1046,0.999873
5.001,16.669,10438579,2087422.695,0.000511,0.000511,0.000511,28.655615,10478420,1046,0.999900
6.002,20.005,12631688,2104710.999,0.000511,0.000511,0.000511,28.655615,12655489,1046,0.999917
7.002,23.339,14823231,2117087.256,0.000511,0.000511,0.000511,28.655615,14875498,1046,0.999930
8.002,26.673,17028509,2128087.192,0.000511,0.000511,0.000511,28.655615,17051834,1046,0.999939
9.002,30.006,19180302,2130703.416,0.000511,0.000511,0.000511,28.655615,19189180,1046,0.999945
10.002,33.340,21387119,2138294.815,0.000511,0.000511,0.000511,28.655615,21406678,1046,0.999951
11.002,36.673,23545960,2140148.561,0.000511,0.000511,0.000511,28.655615,23563428,1046,0.999956
12.002,40.007,25660195,2137975.970,0.000511,0.000511,0.000511,28.655615,25666668,1046,0.999959
13.002,43.341,27791185,2137426.432,0.000511,0.000511,0.000511,28.655615,27814805,1046,0.999962
14.002,46.674,29915138,2136451.221,0.000511,0.000511,0.000511,28.655615,29928550,1046,0.999965
15.004,50.015,32051710,2136144.093,0.000511,0.000511,0.000511,28.655615,32098054,1046,0.999967
16.005,53.348,34179964,2135642.014,0.000511,0.000511,0.000511,28.655615,34198084,1046,0.999969
17.005,56.682,36371577,2138924.647,0.000511,0.000511,0.000511,28.655615,36404202,1046,0.999971
18.005,60.017,38563714,2141837.246,0.000511,0.000511,0.000511,28.655615,38588509,1046,0.999973
19.005,63.350,40728866,2143053.656,0.000511,0.000511,0.000511,28.655615,40754603,1046,0.999974
20.005,66.684,42885114,2143703.589,0.000511,0.000511,0.000511,28.655615,42901831,1046,0.999976
21.005,70.017,45083493,2146299.394,0.000511,0.000511,0.000511,28.655615,45099274,1046,0.999977
22.005,73.351,47169863,2143569.381,0.000511,0.000511,0.000511,28.655615,47191015,1046,0.999978
23.005,76.685,49356923,2145453.682,0.000511,0.000511,0.000511,28.655615,49387177,1046,0.999979
24.005,80.018,51553449,2147573.374,0.000511,0.000511,0.000511,28.655615,51573173,1046,0.999980
25.006,83.352,53717968,2148244.358,0.000511,0.000511,0.000511,28.655615,53724170,1046,0.999981
26.006,86.685,55913248,2150046.669,0.000511,0.000511,0.000511,28.655615,55950663,1046,0.999981
27.006,90.019,58050351,2149561.103,0.000511,0.000511,0.000511,28.655615,58080587,1046,0.999982
28.006,93.353,60221574,2150328.471,0.000511,0.000511,0.000511,28.655615,60246482,1046,0.999983
29.006,96.686,62352747,2149661.865,0.000511,0.000511,0.000511,28.655615,62370767,1046,0.999983
30.006,100.000,64496709,2149466.662,0.000511,0.000511,0.000511,28.655615,64527802,1046,0.999984
