time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.002,3.341,1358389,1355086.351,0.000511,0.000511,0.001023,44.236799,1362368,1042,0.999236
2.003,6.676,3168389,1581920.684,0.000511,0.000511,0.001023,44.236799,3196345,1042,0.999674
3.004,10.015,5016949,1669849.440,0.000511,0.000511,0.001023,44.236799,5021326,1042,0.999793
4.011,13.371,6947355,1731888.510,0.000511,0.000511,0.001023,44.236799,6983129,1042,0.999851
5.012,16.705,8890905,1774097.966,0.000511,0.000511,0.001023,44.236799,8891380,1042,0.999883
6.012,20.039,10870097,1808190.341,0.000511,0.000511,0.000511,44.236799,10887141,1042,0.999904
7.013,23.378,12794826,1824331.712,0.000511,0.000511,0.000511,44.236799,12804229,1042,0.999919
8.015,26.718,14578582,1818813.649,0.000511,0.000511,0.001023,44.236799,14583471,1042,0.999929
9.016,30.052,16328848,1811190.369,0.000511,0.000511,0.001023,44.236799,16345397,1042,0.999936
10.016,33.388,18330052,1829997.345,0.000511,0.000511,0.001023,44.236799,18332611,1042,0.999943
11.017,36.722,20159315,1829917.221,0.000511,0.000511,0.001023,122.093567,20179229,1042,0.999948
12.018,40.061,21205891,1764447.522,0.000511,0.000511,0.001023,126.353407,21234251,1042,0.999951
13.270,44.235,21717507,1636532.033,0.000511,0.000511,0.000511,730.857471,21724247,1042,0.999952
14.272,47.575,22622518,1585049.746,0.000511,0.000511,0.001023,730.857471,22628312,1042,0.999954
15.273,50.909,23591491,1544674.220,0.000511,0.000511,0.001023,730.857471,23732292,1042,0.999956
16.274,54.248,24456458,1502753.477,0.000511,0.000511,0.001023,730.857471,24472465,1042,0.999957
17.275,57.582,25395698,1470121.156,0.000511,0.000511,0.001023,730.857471,25421968,1042,0.999959
18.276,60.920,26392736,1444121.140,0.000511,0.000511,0.001023,730.857471,26416527,1042,0.999961
19.276,64.254,27388395,1420850.452,0.000511,0.000511,0.000511,730.857471,27416094,1042,0.999962
20.276,67.587,28355480,1398465.958,0.000511,0.000511,0.000511,730.857471,28365953,1042,0.999963
21.276,70.921,29299565,1377103.350,0.000511,0.000511,0.000511,730.857471,29327748,1042,0.999964
22.276,74.254,30289636,1359723.669,0.000511,0.000511,0.000511,730.857471,30301835,1042,0.999966
23.276,77.588,31261934,1343072.806,0.000511,0.000511,0.000511,730.857471,31282257,1042,0.999967
24.276,80.922,32193062,1326099.856,0.000511,0.000511,0.001023,730.857471,32204086,1042,0.999968
25.277,84.255,33198389,1313405.398,0.000511,0.000511,0.001023,730.857471,33218101,1042,0.999969
26.278,87.595,34216812,1302087.027,0.000511,0.000511,0.001023,730.857471,34222969,1042,0.999970
27.279,90.928,35233712,1291628.933,0.000511,0.000511,0.000511,730.857471,35245522,1042,0.999970
28.279,94.262,36089186,1276202.131,0.000511,0.000511,0.000511,730.857471,36108952,1042,0.999971
29.279,97.596,37036356,1264960.913,0.000511,0.000511,0.001023,730.857471,37048271,1042,0.999972
30.279,100.000,38057706,1256912.339,0.000511,0.000511,0.000511,730.857471,38072681,1042,0.999973
