time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,104257,104245.031,0.001023,0.010239,0.740863,102.301695,103869,1020,0.990275
2.000,6.667,1485692,742785.935,0.001535,0.019455,0.102911,102.301695,1485352,1020,0.999314
3.000,10.001,2878269,959352.094,0.001535,0.020479,0.101375,102.301695,2879011,1020,0.999646
4.000,13.334,4254810,1063627.940,0.001535,0.020991,0.100351,102.301695,4254249,1020,0.999760
5.000,16.668,5639543,1127832.080,0.001535,0.021503,0.099839,102.301695,5640156,1020,0.999819
6.000,20.001,7039416,1173158.092,0.001535,0.021503,0.099839,102.301695,7039684,1020,0.999855
7.000,23.335,8455197,1207804.126,0.001535,0.021503,0.100863,102.301695,8454891,1020,0.999879
8.001,26.669,9840506,1229974.568,0.001535,0.021503,0.099839,102.301695,9840749,1020,0.999896
9.001,30.002,11232415,1247958.022,0.001535,0.021503,0.100351,102.301695,11233165,1020,0.999909
10.001,33.336,12570282,1256940.905,0.001023,0.019967,0.100351,102.301695,12570862,1020,0.999919
11.001,36.670,13979211,1270738.122,0.001023,0.018943,0.101375,102.301695,13979518,1020,0.999927
12.001,40.003,15362803,1280128.324,0.001023,0.018943,0.101375,102.301695,15362378,1020,0.999934
13.001,43.337,16729623,1286771.728,0.001023,0.018943,0.101887,102.301695,16732654,1020,0.999939
14.001,46.671,18086352,1291760.710,0.001023,0.018943,0.102399,102.301695,18086261,1020,0.999944
15.001,50.005,19432976,1295408.876,0.001023,0.018943,0.101887,102.301695,19432588,1020,0.999948
16.001,53.338,20774167,1298265.045,0.001023,0.018431,0.102399,102.301695,20774810,1020,0.999951
17.002,56.672,22159739,1303387.089,0.001023,0.017919,0.102399,102.301695,22159185,1020,0.999954
18.002,60.006,23500487,1305451.949,0.001023,0.017919,0.102911,102.301695,23500429,1020,0.999957
19.002,63.340,24852574,1307885.744,0.001023,0.017919,0.103423,102.301695,24857222,1020,0.999959
20.029,66.765,26202907,1308220.221,0.001023,0.017919,0.103935,102.301695,26203354,1020,0.999961
21.030,70.100,27499396,1307621.066,0.001023,0.017407,0.104447,102.301695,27503928,1020,0.999963
22.030,73.434,28837263,1308990.468,0.001023,0.017407,0.104959,102.301695,28837933,1020,0.999965
23.030,76.767,30169563,1309999.258,0.001023,0.016895,0.105471,102.301695,30170002,1020,0.999966
24.030,80.101,31518708,1311625.093,0.001023,0.016895,0.105983,102.301695,31518260,1020,0.999968
25.031,83.437,32833884,1311723.199,0.001023,0.016895,0.106495,102.301695,32835904,1020,0.999969
26.034,86.779,34177515,1312813.798,0.001023,0.016895,0.106495,102.301695,34177836,1020,0.999970
27.034,90.113,35527841,1314198.205,0.001023,0.016383,0.107007,102.301695,35528057,1020,0.999971
28.034,93.446,36858800,1314793.383,0.001023,0.015871,0.107519,102.301695,36859190,1020,0.999972
29.034,96.780,38205270,1315878.824,0.001023,0.015871,0.107519,102.301695,38204854,1020,0.999973
30.036,100.000,39540137,1316435.655,0.001023,0.015359,0.108031,102.301695,39543601,1020,0.999974
