time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,11208,11206.848,2.516991,6.569983,9.797631,59.441151,5544,5710,0.492625
2.000,6.667,25229,12613.122,0.001535,6.209535,9.568255,59.441151,13621,11942,0.532840
3.000,10.002,78283,26089.994,0.001023,5.173247,8.364031,59.441151,60726,17974,0.771614
4.001,13.335,138790,34692.509,0.001023,4.775935,7.888895,59.441151,115274,24039,0.827446
5.001,16.669,197482,39491.266,0.001023,4.550655,7.815167,59.441151,167864,30042,0.848201
6.001,20.002,257700,42944.689,0.001023,4.399103,7.679999,59.441151,222068,36091,0.860199
7.001,23.336,316874,45261.703,0.001023,4.263935,7.643135,59.441151,275224,42125,0.867260
8.001,26.670,374296,46781.099,0.001023,4.157439,7.614463,59.441151,326739,47947,0.872034
9.001,30.004,433143,48120.588,0.001023,4.046847,7.598079,59.441151,379855,53975,0.875585
10.001,33.338,493234,49316.128,0.001023,3.946495,7.548927,59.441151,433585,60006,0.878430
11.002,36.672,551675,50145.068,0.001023,3.842047,7.569407,59.441151,486065,65980,0.880481
12.002,40.006,611979,50991.068,0.001023,3.733503,7.540735,59.441151,540425,72070,0.882334
13.002,43.339,671610,51655.261,0.001023,3.663871,7.499775,59.441151,593942,78174,0.883690
14.002,46.673,731279,52226.997,0.001023,3.590143,7.495679,59.441151,647652,84283,0.884849
15.002,50.007,791016,52726.840,0.001023,3.512319,7.487487,59.441151,701049,90363,0.885821
16.002,53.341,850018,53118.669,0.001023,3.452927,7.471103,59.441151,754019,96344,0.886703
17.002,56.674,910743,53565.750,0.001023,3.395583,7.458815,59.441151,809081,102405,0.887650
18.002,60.008,970116,53888.116,0.001023,3.348479,7.462911,59.441151,862095,108388,0.888315
19.003,63.342,1030992,54255.573,0.001023,3.315711,7.450623,59.441151,916801,114633,0.888861
20.003,66.675,1090260,54505.895,0.001023,3.282943,7.458815,59.441151,970041,120610,0.889415
21.003,70.010,1147377,54629.172,0.001023,3.268607,7.450623,59.441151,1021447,126527,0.889782
22.003,73.344,1206642,54839.598,0.001023,3.246079,7.442431,59.441151,1074729,132473,0.890264
23.003,76.677,1264938,54989.603,0.001023,3.221503,7.446527,59.441151,1126768,138414,0.890598
24.003,80.011,1323707,55146.797,0.001023,3.198975,7.454719,59.441151,1179592,144498,0.890870
25.003,83.345,1382781,55303.638,0.001023,3.178495,7.454719,59.441151,1232661,150445,0.891227
26.004,86.678,1442058,55456.279,0.001023,3.164159,7.442431,59.441151,1285808,156540,0.891469
27.004,90.012,1501817,55615.372,0.001023,3.147775,7.438335,59.441151,1339564,162551,0.891785
28.004,93.346,1561683,55766.777,0.001023,3.131391,7.434239,59.441151,1393589,168633,0.892056
29.004,96.680,1617743,55776.748,0.001023,3.117055,7.434239,59.441151,1443739,174321,0.892265
30.004,100.000,1677464,55907.888,0.001023,3.104767,7.434239,59.441151,1497555,180399,0.892489
