time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.346,1059142.400,1053729.958,0.001,0.001,0.001,280.275,1080059.800,1030.200,0.999,3.325,443344.012,444969.324,0.001,0.001,0.001,-131.369,467618.554,1013.034,0.998,3.368,1674940.788,1662490.593,0.001,0.001,0.001,691.918,1692501.046,1047.366,1.000
2,6.683,2667333.400,1330174.486,0.001,0.001,0.001,282.378,2695040.200,1030.200,1.000,6.664,2204687.362,1102672.625,0.001,0.001,0.001,-126.731,2233618.721,1013.034,1.000,6.702,3129979.438,1557676.346,0.001,0.001,0.001,691.488,3156461.679,1047.366,1.000
3,10.018,4320632.600,1437438.479,0.001,0.001,0.001,282.378,4337128.000,1030.200,1.000,9.996,3848674.953,1282972.253,0.001,0.001,0.001,-126.731,3870293.217,1013.034,1.000,10.041,4792590.247,1591904.705,0.001,0.001,0.001,691.488,4803962.783,1047.366,1.000
4,13.354,5945790.600,1484074.479,0.001,0.001,0.001,283.945,5968280.000,1030.200,1.000,13.329,5375935.387,1344032.200,0.001,0.001,0.001,-123.322,5395300.920,1013.034,1.000,13.379,6515645.813,1624116.758,0.001,0.001,0.001,691.211,6541259.080,1047.366,1.000
5,16.688,7490018.200,1495978.001,0.001,0.001,0.001,284.780,7515011.600,1030.200,1.000,16.664,6673402.004,1334548.436,0.001,0.001,0.001,-121.505,6696296.832,1013.034,1.000,16.712,8306634.396,1657407.566,0.001,0.001,0.001,691.066,8333726.368,1047.366,1.000
6,20.027,9109132.600,1516073.339,0.001,0.001,0.001,286.595,9126407.600,1030.200,1.000,19.992,8138247.478,1356042.862,0.001,0.001,0.001,-117.612,8167013.446,1013.034,1.000,20.062,10080017.722,1676103.817,0.001,0.001,0.001,690.803,10085801.754,1047.366,1.000
7,23.361,10660721.400,1521057.388,0.001,0.001,0.001,286.595,10693055.600,1030.200,1.000,23.325,9327991.713,1332179.888,0.001,0.001,0.001,-117.612,9347922.549,1013.034,1.000,23.397,11993451.087,1709934.888,0.001,0.001,0.001,690.803,12038188.651,1047.366,1.000
8,26.697,12249934.600,1529452.614,0.001,0.001,0.001,286.595,12270680.800,1030.200,1.000,26.659,10421864.423,1302165.740,0.001,0.001,0.001,-117.612,10441616.625,1013.034,1.000,26.734,14078004.777,1756739.487,0.001,0.001,0.001,690.803,14099744.975,1047.366,1.000
9,30.032,13717065.400,1522444.653,0.001,0.001,0.001,286.595,13745382.200,1030.200,1.000,29.995,11411765.403,1267256.817,0.001,0.001,0.001,-117.612,11432976.030,1013.034,1.000,30.068,16022365.397,1777632.489,0.001,0.001,0.001,690.803,16057788.370,1047.366,1.000
10,33.372,15218671.000,1520021.629,0.001,0.001,0.001,286.595,15244070.800,1030.200,1.000,33.334,12528202.722,1252214.236,0.001,0.001,0.001,-117.612,12554409.327,1013.034,1.000,33.410,17909139.278,1787829.022,0.001,0.001,0.001,690.803,17933732.273,1047.366,1.000
11,36.710,16812922.200,1526593.406,0.001,0.001,0.001,286.595,16829493.600,1030.200,1.000,36.675,13849577.124,1258231.101,0.001,0.001,0.001,-117.612,13860866.561,1013.034,1.000,36.744,19776267.276,1794955.711,0.001,0.001,0.001,690.803,19798120.639,1047.366,1.000
12,40.043,18420145.000,1533284.281,0.001,0.001,0.001,286.595,18435435.200,1030.200,1.000,40.009,15303987.050,1274607.788,0.001,0.001,0.001,-117.612,15321061.953,1013.034,1.000,40.078,21536302.950,1791960.773,0.001,0.001,0.001,690.803,21549808.447,1047.366,1.000
13,43.379,19807239.400,1521957.719,0.001,0.001,0.001,286.595,19827077.400,1030.200,1.000,43.345,16388324.966,1259939.298,0.001,0.001,0.001,-117.612,16407878.365,1013.034,1.000,43.414,23226153.834,1783976.139,0.001,0.001,0.001,690.803,23246276.435,1047.366,1.000
14,46.715,21339598.800,1522632.595,0.001,0.001,0.001,287.972,21359623.600,1030.200,1.000,46.680,17720932.094,1265068.863,0.001,0.001,0.001,-114.587,17741014.475,1013.034,1.000,46.749,24958265.506,1780196.326,0.001,0.001,0.001,690.530,24978232.725,1047.366,1.000
15,50.049,22982610.400,1530618.827,0.001,0.001,0.001,287.972,23014029.000,1030.200,1.000,50.016,19223293.255,1280826.085,0.001,0.001,0.001,-114.587,19273432.419,1013.034,1.000,50.083,26741927.545,1780411.570,0.001,0.001,0.001,690.530,26754625.581,1047.366,1.000
16,53.384,24561438.800,1533580.236,0.001,0.001,0.001,287.972,24589922.800,1030.200,1.000,53.350,20705306.362,1293358.200,0.001,0.001,0.001,-114.587,20743713.511,1013.034,1.000,53.419,28417571.238,1773802.271,0.001,0.001,0.001,690.530,28436132.089,1047.366,1.000
17,56.719,26228017.400,1541352.306,0.001,0.001,0.001,287.972,26262807.200,1030.200,1.000,56.684,22299527.856,1310986.689,0.001,0.001,0.001,-114.587,22336960.946,1013.034,1.000,56.754,30156506.944,1771717.923,0.001,0.001,0.001,690.530,30188653.454,1047.366,1.000
