time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,544891,544710.574,0.000511,0.000511,0.001023,16.842751,544138,1001,0.998164
2.000,6.668,2132260,1065925.463,0.000511,0.000511,0.001023,16.842751,2133158,1001,0.999531
3.000,10.002,3946134,1315173.859,0.000511,0.000511,0.001023,16.842751,3949165,1001,0.999747
4.001,13.335,5795371,1448617.289,0.000511,0.000511,0.001023,16.842751,5799359,1001,0.999827
5.001,16.669,7654336,1530653.018,0.000511,0.000511,0.001023,16.842751,7653354,1001,0.999869
6.001,20.004,9272834,1545127.687,0.000511,0.000511,0.001023,16.842751,9276204,1001,0.999892
7.001,23.338,11107699,1586495.087,0.000511,0.000511,0.001023,16.842751,11106718,1001,0.999910
8.002,26.674,12997090,1624214.104,0.000511,0.000511,0.001023,16.842751,12998817,1001,0.999923
9.002,30.007,14824178,1646737.227,0.000511,0.000511,0.001023,16.842751,14827460,1001,0.999932
10.002,33.341,16726924,1672315.692,0.000511,0.000511,0.001023,16.842751,16729750,1001,0.999940
11.002,36.674,18501731,1681618.723,0.000511,0.000511,0.001023,16.842751,18504451,1001,0.999946
12.002,40.008,20079049,1672916.525,0.000511,0.000511,0.001023,16.842751,20080053,1001,0.999950
13.002,43.342,21914893,1685437.243,0.000511,0.000511,0.001023,16.842751,21913907,1001,0.999954
14.003,46.675,23682933,1691327.841,0.000511,0.000511,0.001023,16.842751,23682809,1001,0.999958
15.007,50.022,25577782,1704438.255,0.000511,0.000511,0.001023,16.842751,25577441,1001,0.999961
16.003,53.345,27067281,1691345.000,0.000511,0.000511,0.001023,16.842751,27066683,1001,0.999963
17.004,56.678,28838209,1696015.923,0.000511,0.000511,0.001023,16.842751,28837937,1001,0.999965
18.004,60.013,30634798,1701574.251,0.000511,0.000511,0.001023,16.842751,30635257,1001,0.999967
19.004,63.346,32087776,1688483.007,0.000511,0.000511,0.001023,16.842751,32087183,1001,0.999969
20.004,66.680,33847958,1692058.709,0.000511,0.000511,0.001023,16.842751,33846968,1001,0.999970
21.004,70.014,35365454,1683736.346,0.000511,0.000511,0.001023,16.842751,35365634,1001,0.999972
22.005,73.349,36780927,1671504.170,0.000511,0.000511,0.001023,16.842751,36781244,1001,0.999973
23.007,76.689,38070731,1654777.298,0.000511,0.000511,0.001023,16.842751,38069741,1001,0.999974
24.007,80.022,39478182,1644469.173,0.000511,0.000511,0.001023,16.842751,39480631,1001,0.999975
25.007,83.356,40844337,1633332.372,0.000511,0.000511,0.001023,16.842751,40846948,1001,0.999975
26.007,86.689,42396412,1630202.817,0.000511,0.000511,0.001023,16.842751,42398060,1001,0.999976
27.007,90.023,43948343,1627299.858,0.000511,0.000511,0.001023,16.842751,43947957,1001,0.999977
28.007,93.357,45789004,1634913.675,0.000511,0.000511,0.001023,16.842751,45788030,1001,0.999978
29.012,96.705,47579058,1640003.114,0.000511,0.000511,0.001023,16.842751,47584589,1001,0.999979
30.014,100.000,49281842,1641986.454,0.000511,0.000511,0.001023,16.842751,49280842,1001,0.999980
