time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate
1.000,3.334,15197,15195.516,4.139007,9.297919,12.484607,81.330175,6848,8445,0.447787
2.000,6.667,30379,15188.301,4.362239,9.215999,12.853247,81.330175,13490,17030,0.442005
3.000,10.001,47749,15914.762,4.093951,9.052159,12.705791,81.330175,22117,25798,0.461588
4.000,13.335,67191,16796.180,3.844095,8.798207,12.328959,81.330175,31932,35396,0.474275
5.000,16.668,86032,17204.821,3.753983,8.642559,12.247039,81.330175,41369,44841,0.479863
6.001,20.002,105744,17622.164,3.639295,8.527871,12.189695,81.330175,51286,54625,0.484237
7.001,23.336,125163,17878.295,3.569663,8.462335,12.050431,81.330175,60998,64379,0.486517
8.001,26.670,142533,17814.584,3.555327,8.527871,11.976703,81.330175,69623,73039,0.488028
9.001,30.003,160262,17804.818,3.532799,8.536063,11.853823,81.330175,78528,81895,0.489506
10.001,33.338,179350,17932.756,3.471359,8.511487,11.796479,81.330175,88159,91347,0.491120
11.001,36.671,198562,18048.864,3.420159,8.486911,11.755519,81.330175,97871,100889,0.492408
12.001,40.005,217383,18113.040,3.379199,8.495103,11.804671,81.330175,107436,110123,0.493825
13.002,43.339,235772,18134.126,3.354623,8.495103,11.911167,81.330175,116737,119297,0.494577
14.002,46.673,254352,18165.637,3.346431,8.503295,11.878399,81.330175,125892,128635,0.494612
15.002,50.007,273606,18237.986,3.325951,8.486911,11.870207,81.330175,135583,138217,0.495190
16.002,53.340,291685,18227.954,3.315711,8.486911,11.837439,81.330175,144593,147240,0.495465
17.002,56.674,310805,18280.288,3.282943,8.478719,11.837439,81.330175,154214,156748,0.495926
18.002,60.008,330030,18332.667,3.278847,8.454143,11.960319,81.330175,163764,166467,0.495907
19.002,63.341,349352,18384.638,3.276799,8.421375,12.001279,81.330175,173330,176187,0.495913
20.002,66.675,368309,18413.157,3.252223,8.421375,11.976703,81.330175,182893,185562,0.496378
21.003,70.009,387383,18444.547,3.237887,8.413183,11.960319,81.330175,192486,195066,0.496671
22.003,73.342,406504,18475.227,3.231743,8.396799,11.935743,81.330175,201966,204680,0.496663
23.003,76.676,425577,18501.149,3.233791,8.384511,11.902975,81.330175,211442,214376,0.496555
24.004,80.012,445013,18539.497,3.229695,8.351743,11.862015,81.330175,221081,224067,0.496646
25.004,83.345,463578,18540.447,3.223551,8.339455,11.829247,81.330175,230351,233353,0.496763
26.004,86.679,482490,18554.676,3.221503,8.335359,11.853823,81.330175,239824,242856,0.496859
27.004,90.013,501205,18560.542,3.215359,8.339455,11.870207,81.330175,249090,252255,0.496843
28.004,93.346,520651,18592.115,3.213311,8.327167,11.862015,81.330175,258834,262033,0.496929
29.004,96.680,540413,18632.286,3.198975,8.310783,11.845631,81.330175,268780,271910,0.497106
30.004,100.000,558932,18628.453,3.192831,8.314879,11.845631,81.330175,277986,281100,0.497215
