time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,15414.600,15411.947,4.118,8.925,14.252,140.182,6923.200,8636.400,0.446,3.334,13974.125,13970.379,3.858,7.619,9.914,34.079,6457.348,7654.179,0.433,3.334,16855.075,16853.515,4.377,10.231,18.591,246.284,7389.052,9618.621,0.458
2,6.667,30289.800,15143.050,4.359,9.839,14.290,140.182,13454.200,17008.200,0.440,6.667,23865.182,11930.516,3.644,6.431,8.985,34.079,10217.585,13802.842,0.423,6.668,36714.418,18355.583,5.074,13.246,19.595,246.284,16690.815,20213.558,0.457
3,10.001,46513.200,15502.545,4.166,10.247,14.887,140.182,21514.200,25179.400,0.459,10.001,34340.006,11444.788,3.337,5.412,8.455,34.079,15450.905,19065.873,0.445,10.002,58686.394,19560.301,4.994,15.081,21.318,246.284,27577.495,31292.927,0.473
4,13.335,62939.200,15732.946,4.039,10.467,15.247,140.182,29794.400,33315.400,0.470,13.334,44930.210,11230.760,3.148,5.055,7.686,34.079,20763.319,24323.707,0.458,13.336,80948.190,20235.132,4.931,15.879,22.808,246.284,38825.481,42307.093,0.483
5,16.669,79505.800,15899.035,3.964,10.592,15.522,140.182,38089.400,41593.200,0.476,16.668,55113.874,11020.973,3.020,4.719,7.080,34.079,25847.428,29433.138,0.465,16.670,103897.726,20777.098,4.908,16.465,23.964,246.284,50331.372,53753.262,0.488
6,20.003,96565.600,16092.062,3.899,10.627,15.609,140.182,46678.200,50074.400,0.481,20.001,65437.070,10904.455,2.912,4.346,6.841,34.079,31001.713,34590.859,0.470,20.004,127694.130,21279.670,4.886,16.908,24.377,246.284,62354.687,65557.941,0.492
7,23.337,112838.000,16117.501,3.840,10.591,15.657,166.763,54804.200,58243.800,0.483,23.335,75418.876,10772.343,2.928,4.460,6.713,-10.274,36040.417,39562.496,0.474,23.338,150257.124,21462.660,4.752,16.723,24.600,343.800,73567.983,76925.104,0.492
8,26.671,129554.400,16192.151,3.802,10.514,15.530,166.763,63164.200,66573.000,0.486,26.669,87716.084,10962.750,2.909,4.670,6.993,-10.274,42208.878,45690.717,0.478,26.672,171392.716,21421.552,4.696,16.359,24.068,343.800,84119.522,87455.283,0.493
9,30.004,146320.200,16255.714,3.754,10.455,15.401,166.763,71552.000,74945.800,0.487,30.002,100609.146,11177.078,2.898,4.875,7.219,-10.274,48636.827,52157.783,0.481,30.005,192031.254,21334.350,4.611,16.035,23.583,343.800,94467.173,97733.817,0.494
10,33.338,163739.600,16371.872,3.648,10.349,15.371,166.763,80361.000,83563.200,0.489,33.336,115287.560,11527.033,2.972,5.091,7.526,-10.274,56057.657,59430.982,0.484,33.339,212191.640,21216.712,4.325,15.607,23.217,343.800,104664.343,107695.418,0.495
11,36.672,181456.200,16493.789,3.522,10.262,15.312,166.763,89296.800,92359.000,0.491,36.670,132546.566,12047.879,3.105,5.410,7.869,-10.274,64761.830,67971.415,0.487,36.673,230365.834,20939.700,3.939,15.114,22.756,343.800,113831.770,116746.585,0.495
12,40.005,199919.400,16657.789,3.441,10.126,15.240,166.763,98654.400,101462.600,0.492,40.005,150485.578,12538.660,3.134,5.711,8.066,-10.274,73718.785,76925.180,0.489,40.006,249353.222,20776.918,3.749,14.542,22.415,343.800,123590.015,126000.020,0.496
13,43.339,218041.400,16770.268,3.400,9.996,15.137,166.763,107763.600,110482.800,0.493,43.338,168005.893,12921.699,3.141,6.009,8.253,-10.274,82552.434,85675.419,0.490,43.340,268076.907,20618.837,3.659,13.983,22.022,343.800,132974.766,135290.181,0.497
14,46.673,236163.600,16866.676,3.388,9.879,15.004,166.763,116741.000,119603.000,0.494,46.672,185584.227,13254.185,3.158,6.254,8.340,-10.274,91316.210,94473.569,0.491,46.673,286742.973,20479.166,3.618,13.504,21.668,343.800,142165.790,144732.431,0.496
15,50.006,254444.400,16960.817,3.361,9.760,14.887,166.763,125947.600,128694.600,0.494,50.005,204066.912,13602.629,3.171,6.512,8.452,-10.274,100623.647,103614.886,0.492,50.008,304821.888,20319.004,3.551,13.008,21.321,343.800,151271.553,153774.314,0.496
16,53.340,272544.400,17031.901,3.350,9.640,14.821,166.763,135018.800,137705.600,0.495,53.339,221825.359,13862.259,3.168,6.699,8.559,-10.274,109576.480,112431.447,0.493,53.341,323263.441,20201.543,3.532,12.580,21.083,343.800,160461.120,162979.753,0.497
17,56.674,291058.000,17118.900,3.323,9.522,14.767,166.763,144336.000,146897.800,0.496,56.673,239910.327,14110.505,3.159,6.876,8.680,-10.274,118747.646,121352.212,0.494,56.674,342205.673,20127.296,3.486,12.167,20.854,343.800,169924.354,172443.388,0.497
18,60.008,309489.200,17191.684,3.320,9.409,14.726,166.763,153524.000,156184.000,0.496,60.007,257610.109,14309.797,3.179,6.989,8.820,-10.274,127649.593,130184.551,0.495,60.008,361368.291,20073.572,3.462,11.830,20.632,343.800,179398.407,182183.449,0.496
19,63.341,328007.200,17261.368,3.313,9.329,14.670,166.763,162692.200,165505.000,0.496,63.341,275472.014,14496.553,3.183,7.097,8.876,-10.274,136477.019,139194.523,0.495,63.342,380542.386,20026.183,3.443,11.561,20.464,343.800,188907.381,191815.477,0.496
20,66.675,346671.200,17331.369,3.290,9.265,14.621,166.763,172068.800,174768.800,0.496,66.675,294466.254,14721.334,3.176,7.224,8.961,-10.274,145994.289,148636.546,0.495,66.676,398876.146,19941.404,3.404,11.306,20.282,343.800,198143.311,200901.054,0.497
21,70.009,364362.800,17348.431,3.273,9.227,14.634,166.763,180962.800,183566.600,0.496,70.008,312188.042,14864.086,3.166,7.372,9.131,-10.274,154883.391,157456.235,0.496,70.010,416537.558,19832.776,3.380,11.083,20.138,343.800,207042.209,209676.965,0.497
22,73.343,382025.600,17362.619,3.263,9.187,14.619,166.763,189769.800,192416.200,0.497,73.341,330583.731,15024.479,3.179,7.511,9.250,-10.274,164115.113,166610.314,0.496,73.344,433467.469,19700.759,3.348,10.862,19.989,343.800,215424.487,218222.086,0.497
23,76.676,400134.800,17394.983,3.262,9.146,14.541,166.763,198758.400,201577.600,0.496,76.676,348442.122,15147.605,3.182,7.595,9.288,-10.274,173015.562,175635.427,0.496,76.677,451827.478,19642.360,3.343,10.698,19.794,343.800,224501.238,227519.773,0.497
24,80.011,418396.800,17430.923,3.260,9.107,14.470,166.763,207818.800,210736.400,0.496,80.009,366762.212,15279.702,3.176,7.674,9.326,-10.274,182067.692,184870.329,0.496,80.012,470031.388,19582.145,3.345,10.540,19.615,343.800,233569.908,236602.471,0.497
25,83.344,436416.600,17454.380,3.255,9.078,14.411,166.763,216806.800,219756.000,0.497,83.343,384967.430,15396.648,3.171,7.744,9.361,-10.274,191169.783,193938.219,0.496,83.345,487865.770,19512.112,3.338,10.411,19.462,343.800,242443.817,245573.781,0.497
26,86.678,455105.400,17501.783,3.247,9.029,14.367,166.763,226177.200,229101.000,0.497,86.677,403375.547,15512.383,3.171,7.803,9.403,-10.274,200432.697,203099.451,0.497,86.679,506835.253,19491.182,3.322,10.256,19.332,343.800,251921.703,255102.549,0.497
27,90.012,473528.000,17535.798,3.240,9.000,14.333,166.763,235365.800,238360.800,0.497,90.010,422353.826,15640.604,3.169,7.858,9.470,-10.274,209884.237,212652.518,0.497,90.013,524702.174,19430.992,3.311,10.142,19.195,343.800,260847.363,264069.082,0.497
28,93.346,492397.200,17583.319,3.235,8.965,14.275,166.763,244769.800,247795.400,0.497,93.344,440429.251,15727.457,3.167,7.875,9.477,-10.274,218868.153,221725.752,0.497,93.347,544365.149,19439.181,3.303,10.054,19.074,343.800,270671.447,273865.048,0.497
29,96.679,511029.800,17619.410,3.231,8.937,14.218,166.763,254083.800,257157.600,0.497,96.678,458199.904,15797.852,3.157,7.894,9.494,-10.274,227726.700,230689.406,0.497,96.680,563859.696,19440.968,3.304,9.980,18.942,343.800,280440.900,283625.794,0.497
30,100.000,530113.800,17668.139,3.226,8.898,14.159,166.763,263593.400,266702.000,0.497,100.000,477953.631,15929.543,3.155,7.935,9.510,-10.274,237568.146,240577.202,0.497,100.000,582273.969,19406.734,3.298,9.861,18.808,343.800,289618.654,292826.798,0.497
