time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.337,1555470.800,1553766.327,0.001,0.001,0.001,120.245,1602701.800,1217.000,0.999,3.332,1326451.215,1323596.780,0.001,0.001,0.001,-9.383,1398414.783,1209.148,0.999,3.342,1784490.385,1783935.874,0.001,0.001,0.001,249.874,1806988.817,1224.852,0.999
2,6.675,3314477.200,1655319.156,0.001,0.001,0.001,127.500,3338712.400,1217.000,1.000,6.665,3003228.115,1498303.486,0.001,0.001,0.000,3.392,3018915.492,1209.148,1.000,6.684,3625726.285,1812334.827,0.001,0.001,0.001,251.609,3658509.308,1224.852,1.000
3,10.012,5191193.000,1728287.833,0.001,0.001,0.001,137.599,5225353.800,1217.000,1.000,9.999,4903805.477,1631831.567,0.001,0.001,0.000,23.156,4931875.287,1209.148,1.000,10.025,5478580.523,1824744.099,0.001,0.001,0.001,252.043,5518832.313,1224.852,1.000
4,13.348,7049165.600,1760388.874,0.001,0.001,0.001,137.599,7103615.200,1217.000,1.000,13.332,6708036.146,1674545.352,0.001,0.001,0.000,23.156,6747831.173,1209.148,1.000,13.364,7390295.054,1846232.395,0.001,0.001,0.001,252.043,7459399.227,1224.852,1.000
5,16.684,8926335.400,1783476.429,0.001,0.001,0.001,137.599,8975221.800,1217.000,1.000,16.668,8587450.085,1715056.710,0.001,0.001,0.001,23.156,8643144.353,1209.148,1.000,16.699,9265220.715,1851896.147,0.001,0.001,0.001,252.043,9307299.247,1224.852,1.000
6,20.019,10711518.400,1783617.110,0.001,0.001,0.001,138.242,10761829.000,1217.000,1.000,20.002,10238079.926,1704022.019,0.001,0.001,0.001,24.247,10271925.008,1209.148,1.000,20.035,11184956.874,1863212.202,0.001,0.001,0.001,252.237,11251732.992,1224.852,1.000
7,23.353,12486030.600,1782254.257,0.001,0.001,0.001,138.727,12524723.600,1217.000,1.000,23.335,11867591.794,1693389.305,0.001,0.001,0.001,25.231,11896082.611,1209.148,1.000,23.370,13104469.406,1871119.209,0.001,0.001,0.001,252.222,13153364.589,1224.852,1.000
8,26.689,14399410.400,1798405.597,0.001,0.001,0.001,138.727,14441254.200,1217.000,1.000,26.674,13822060.939,1725812.108,0.001,0.001,0.001,25.231,13891701.506,1209.148,1.000,26.704,14976759.861,1870999.086,0.001,0.001,0.001,252.222,14990806.894,1224.852,1.000
9,30.024,16118330.000,1789524.092,0.001,0.001,0.001,138.727,16158566.600,1217.000,1.000,30.010,15669065.074,1739085.209,0.001,0.001,0.000,25.231,15707123.746,1209.148,1.000,30.038,16567594.926,1839962.975,0.001,0.001,0.001,252.222,16610009.454,1224.852,1.000
10,33.367,17967417.600,1794933.238,0.001,0.001,0.001,138.727,18010598.000,1217.000,1.000,33.349,17517999.803,1749936.136,0.001,0.001,0.000,25.231,17560384.128,1209.148,1.000,33.384,18416835.397,1839930.340,0.001,0.001,0.001,252.222,18460811.872,1224.852,1.000
11,36.709,19726482.200,1791257.536,0.001,0.001,0.001,138.792,19767080.600,1217.000,1.000,36.694,19192990.623,1742588.187,0.001,0.001,0.000,25.363,19235535.203,1209.148,1.000,36.723,20259973.777,1839926.884,0.001,0.001,0.001,252.221,20298625.997,1224.852,1.000
12,40.043,21541758.400,1793202.501,0.001,0.001,0.001,138.792,21606941.600,1217.000,1.000,40.028,20933984.905,1742555.944,0.001,0.001,0.000,25.363,20995415.256,1209.148,1.000,40.059,22149531.895,1843849.058,0.001,0.001,0.001,252.221,22218467.944,1224.852,1.000
13,43.380,23374584.200,1796094.891,0.001,0.001,0.001,138.792,23429424.600,1217.000,1.000,43.364,22663802.504,1741563.820,0.001,0.001,0.000,25.363,22737414.484,1209.148,1.000,43.397,24085365.896,1850625.962,0.001,0.001,0.001,252.221,24121434.716,1224.852,1.000
14,46.715,25190846.600,1797495.161,0.001,0.001,0.001,138.792,25231932.600,1217.000,1.000,46.697,24406515.168,1741678.529,0.001,0.001,0.000,25.363,24450912.975,1209.148,1.000,46.732,25975178.032,1853311.792,0.001,0.001,0.001,252.221,26012952.225,1224.852,1.000
15,50.049,27046156.200,1801312.095,0.001,0.001,0.001,138.792,27099122.600,1217.000,1.000,50.031,26223812.955,1746822.842,0.001,0.001,0.000,25.363,26279549.802,1209.148,1.000,50.066,27868499.445,1855801.348,0.001,0.001,0.001,252.221,27918695.398,1224.852,1.000
16,53.390,28908032.600,1804821.482,0.001,0.001,0.001,138.792,28955039.800,1217.000,1.000,53.379,27996484.011,1748273.039,0.001,0.001,0.000,25.363,28031637.133,1209.148,1.000,53.402,29819581.189,1861369.925,0.001,0.001,0.001,252.221,29878442.467,1224.852,1.000
17,56.725,30807631.000,1810345.101,0.001,0.001,0.001,138.792,30847219.600,1217.000,1.000,56.714,29888815.322,1756660.270,0.001,0.001,0.000,25.363,29938727.958,1209.148,1.000,56.736,31726446.678,1864029.932,0.001,0.001,0.001,252.221,31755711.242,1224.852,1.000
18,60.060,32517570.200,1804725.862,0.001,0.001,0.001,138.792,32557042.600,1217.000,1.000,60.048,31600052.212,1754093.743,0.001,0.001,0.000,25.363,31656287.180,1209.148,1.000,60.071,33435088.188,1855357.981,0.001,0.001,0.001,252.221,33457798.020,1224.852,1.000
19,63.397,34419059.000,1809703.417,0.001,0.001,0.001,138.792,34487244.200,1217.000,1.000,63.387,33390734.444,1755899.767,0.001,0.001,0.001,25.363,33471896.297,1209.148,1.000,63.408,35447383.556,1863507.068,0.001,0.001,0.001,252.221,35502592.103,1224.852,1.000
20,66.733,36237871.800,1810095.751,0.001,0.001,0.001,138.792,36286339.600,1217.000,1.000,66.723,35138999.171,1755454.874,0.001,0.001,0.000,25.363,35179085.012,1209.148,1.000,66.742,37336744.429,1864736.629,0.001,0.001,0.001,252.221,37393594.188,1224.852,1.000
21,70.066,38031379.000,1809297.551,0.001,0.001,0.001,138.792,38063200.600,1217.000,1.000,70.057,36903982.689,1755899.009,0.001,0.001,0.000,25.363,36932331.914,1209.148,1.000,70.076,39158775.311,1862696.093,0.001,0.001,0.001,252.221,39194069.286,1224.852,1.000
22,73.403,39841181.800,1809246.609,0.001,0.001,0.001,138.792,39883612.400,1217.000,1.000,73.391,38858993.938,1764908.979,0.001,0.001,0.000,25.363,38905020.187,1209.148,1.000,73.414,40823369.662,1853584.238,0.001,0.001,0.001,252.221,40862204.613,1224.852,1.000
23,76.740,41709299.800,1811707.713,0.001,0.001,0.001,138.792,41730836.200,1217.000,1.000,76.726,40694741.741,1767812.333,0.001,0.001,0.000,25.363,40714675.185,1209.148,1.000,76.755,42723857.859,1855603.094,0.001,0.001,0.001,252.221,42746997.215,1224.852,1.000
24,80.075,43485824.600,1810198.674,0.001,0.001,0.001,140.378,43522760.400,1217.000,1.000,80.060,42405345.119,1765382.870,0.001,0.001,0.000,28.478,42434623.376,1209.148,1.000,80.091,44566304.081,1855014.478,0.001,0.001,0.001,252.278,44610897.424,1224.852,1.000
25,83.423,45276017.000,1809102.342,0.001,0.001,0.001,140.378,45311226.600,1217.000,1.000,83.378,44038518.349,1759207.948,0.001,0.001,0.000,28.478,44083035.203,1209.148,1.000,83.467,46513515.651,1858996.735,0.001,0.001,0.001,252.278,46539417.997,1224.852,1.000
26,86.778,47021742.000,1806231.958,0.001,0.001,0.001,140.378,47076844.000,1217.000,1.000,86.725,45687060.685,1754056.676,0.001,0.001,0.000,28.478,45765190.026,1209.148,1.000,86.831,48356423.315,1858407.240,0.001,0.001,0.001,252.278,48388497.974,1224.852,1.000
27,90.111,48906351.600,1809126.553,0.001,0.001,0.001,140.378,48953183.000,1217.000,1.000,90.058,47521475.876,1756984.827,0.001,0.001,0.000,28.478,47552201.178,1209.148,1.000,90.165,50291227.324,1861268.279,0.001,0.001,0.001,252.278,50354164.822,1224.852,1.000
28,93.449,50733486.600,1809687.741,0.001,0.001,0.001,140.378,50768506.200,1217.000,1.000,93.396,49249805.136,1755865.302,0.001,0.001,0.000,28.478,49277967.021,1209.148,1.000,93.502,52217168.064,1863510.180,0.001,0.001,0.001,252.278,52259045.379,1224.852,1.000
29,96.784,52574809.800,1810747.184,0.001,0.001,0.001,140.378,52614131.000,1217.000,1.000,96.731,51073558.358,1758204.950,0.001,0.001,0.000,28.478,51108685.586,1209.148,1.000,96.836,54076061.242,1863289.419,0.001,0.001,0.001,252.278,54119576.414,1224.852,1.000
30,100.000,54370186.800,1810000.507,0.001,0.001,0.001,140.378,54415766.600,1217.000,1.000,100.000,52833603.048,1757813.717,0.001,0.001,0.000,28.478,52872688.101,1209.148,1.000,100.000,55906770.552,1862187.296,0.001,0.001,0.001,252.278,55958845.099,1224.852,1.000
