time_s,progress,txns,throughput,p50_ms,p90_ms,p99_ms,max,cache_hits,cache_misses,cache_hit_rate,progress_ci_lower,txns_ci_lower,throughput_ci_lower,p50_ms_ci_lower,p90_ms_ci_lower,p99_ms_ci_lower,max_ci_lower,cache_hits_ci_lower,cache_misses_ci_lower,cache_hit_rate_ci_lower,progress_ci_upper,txns_ci_upper,throughput_ci_upper,p50_ms_ci_upper,p90_ms_ci_upper,p99_ms_ci_upper,max_ci_upper,cache_hits_ci_upper,cache_misses_ci_upper,cache_hit_rate_ci_upper
1,3.334,4356.000,4355.295,1.581,4.329,6.205,82.634,2157.400,2207.200,0.494,3.334,3904.258,3903.837,1.473,3.839,5.165,49.172,1914.938,1997.416,0.489,3.334,4807.742,4806.752,1.689,4.819,7.246,116.097,2399.862,2416.984,0.499
2,6.667,8865.800,4432.386,1.606,4.415,6.305,82.634,4417.400,4478.200,0.497,6.667,7783.397,3891.337,1.522,3.792,4.948,49.172,3859.178,3928.906,0.494,6.668,9948.203,4973.434,1.691,5.039,7.661,116.097,4975.622,5027.494,0.499
3,10.001,13188.200,4395.532,1.717,4.431,6.415,82.634,6403.800,6800.200,0.485,10.001,11529.060,3842.640,1.662,3.708,4.824,49.172,5687.062,5853.522,0.478,10.001,14847.340,4948.424,1.772,5.155,8.006,116.097,7120.538,7746.878,0.493
4,13.335,17175.600,4293.383,1.843,4.433,6.405,82.634,8036.400,9166.800,0.468,13.335,14967.528,3741.510,1.737,3.697,4.865,49.172,7166.359,7842.507,0.458,13.335,19383.672,4845.255,1.948,5.168,7.945,116.097,8906.441,10491.093,0.477
5,16.669,24680.600,4935.549,0.809,4.423,6.722,82.634,13363.800,11362.200,0.529,16.668,17034.257,3406.496,-0.564,3.436,4.349,49.172,7622.640,9420.306,0.455,16.669,32326.943,6464.602,2.182,5.410,9.096,116.097,19104.960,13304.094,0.602
6,20.002,39016.200,6501.978,0.733,4.296,6.805,82.634,25568.800,13515.800,0.615,20.002,19357.119,3225.841,-0.517,3.013,3.821,49.172,8480.297,10936.935,0.467,20.003,58675.281,9778.114,1.982,5.578,9.789,116.097,42657.303,16094.665,0.764
7,23.336,59078.800,8438.849,0.002,4.000,6.499,82.634,43351.000,15828.400,0.705,23.336,30159.866,4308.019,0.001,2.807,3.665,49.172,17514.372,12744.759,0.595,23.336,87997.734,12569.680,0.002,5.193,9.333,116.097,69187.628,18912.041,0.815
8,26.670,80906.600,10112.078,0.001,3.754,6.200,82.634,62863.600,18123.600,0.760,26.669,45322.153,5664.506,0.001,2.688,3.684,49.172,30919.587,14486.287,0.688,26.670,116491.047,14559.650,0.002,4.819,8.716,116.097,94807.613,21760.913,0.832
9,30.004,102886.600,11430.463,0.001,3.582,6.119,82.634,82641.800,20326.600,0.791,30.003,59929.450,6657.950,0.001,2.542,3.544,49.172,43976.207,16010.463,0.736,30.004,145843.750,16202.976,0.002,4.622,8.695,116.097,121307.393,24642.737,0.846
10,33.337,125789.000,12577.399,0.001,3.404,6.021,82.634,103218.800,22663.000,0.812,33.337,76474.445,7646.462,0.001,2.391,3.427,49.172,58882.063,17686.062,0.769,33.338,175103.555,17508.336,0.002,4.417,8.615,116.097,147555.537,27639.938,0.854
