time_s,progress,txns,rate_tps,p50_ms,p90_ms,p99_ms,max_ms
1.000,1.000,1,1.000,1015.021567,1015.021567,1015.021567,1015.021567
2.000,4.000,4,2.000,842.530815,2039.480319,2039.480319,2039.480319
3.000,6.000,6,2.000,1015.021567,2039.480319,2039.480319,2039.480319
4.000,8.000,8,2.000,842.530815,2039.480319,2039.480319,2039.480319
5.001,11.000,11,2.200,866.648063,1475.346431,2039.480319,2039.480319
6.001,12.000,12,2.000,866.648063,1475.346431,2039.480319,2039.480319
7.001,15.000,15,2.143,984.612863,1800.404991,2039.480319,2039.480319
8.001,17.000,17,2.125,866.648063,1800.404991,2039.480319,2039.480319
9.001,19.000,19,2.111,866.648063,1800.404991,2039.480319,2039.480319
10.001,21.000,21,2.100,866.648063,1475.346431,2039.480319,2039.480319
11.001,24.000,24,2.182,842.530815,1475.346431,2039.480319,2039.480319
12.001,25.000,25,2.083,842.530815,1475.346431,2039.480319,2039.480319
13.002,29.000,29,2.230,842.530815,1475.346431,2039.480319,2039.480319
14.002,31.000,31,2.214,825.229311,1374.683135,2039.480319,2039.480319
15.002,34.000,34,2.266,825.229311,1374.683135,2039.480319,2039.480319
16.002,36.000,36,2.250,825.229311,1374.683135,2039.480319,2039.480319
17.002,38.000,38,2.235,825.229311,1374.683135,2039.480319,2039.480319
18.002,40.000,40,2.222,825.229311,1249.902591,2039.480319,2039.480319
19.002,43.000,43,2.263,817.364991,1249.902591,2039.480319,2039.480319
20.002,45.000,45,2.250,817.364991,1374.683135,2039.480319,2039.480319
21.002,47.000,47,2.238,817.364991,1475.346431,2039.480319,2039.480319
22.003,48.000,48,2.182,817.364991,1475.346431,2039.480319,2039.480319
23.003,49.000,49,2.130,825.229311,1475.346431,2039.480319,2039.480319
24.003,53.000,53,2.208,817.364991,1475.346431,2039.480319,2039.480319
25.003,55.000,55,2.200,816.840703,1475.346431,2039.480319,2039.480319
26.003,58.000,58,2.230,816.840703,1475.346431,2039.480319,2039.480319
27.003,61.000,61,2.259,816.840703,1374.683135,2039.480319,2039.480319
28.004,63.000,63,2.250,816.316415,1374.683135,2039.480319,2039.480319
29.004,66.000,66,2.276,801.112063,1475.346431,2039.480319,2039.480319
30.004,67.000,67,2.233,816.316415,1475.346431,2039.480319,2039.480319
31.004,69.000,69,2.226,816.840703,1475.346431,2039.480319,2039.480319
32.004,72.000,72,2.250,816.316415,1375.731711,2039.480319,2039.480319
33.004,74.000,74,2.242,816.840703,1375.731711,2039.480319,2039.480319
34.004,77.000,77,2.264,816.840703,1375.731711,2039.480319,2039.480319
35.005,79.000,79,2.257,816.840703,1375.731711,2039.480319,2039.480319
36.005,81.000,81,2.250,816.840703,1374.683135,2039.480319,2039.480319
