time_s,progress,txns,rate_tps,p50_ms,p90_ms,p99_ms,pmax_ms
1.000,1.900,19,18.997,219.152383,375.128063,381.419519,381.419519
2.000,3.900,39,19.498,223.608831,334.495743,391.643135,391.643135
3.000,5.700,57,18.998,222.953471,322.174975,391.643135,391.643135
4.000,7.500,75,18.748,222.429183,283.901951,391.643135,391.643135
5.000,9.300,93,18.598,221.249535,283.901951,391.643135,391.643135
6.001,11.100,111,18.498,219.283455,281.804799,381.419519,391.643135
7.001,13.000,130,18.570,219.152383,281.018367,381.419519,391.643135
8.001,14.800,148,18.498,219.938815,281.018367,381.419519,391.643135
9.001,16.600,166,18.443,219.938815,283.901951,381.419519,391.643135
10.001,18.400,184,18.398,221.118463,281.804799,381.419519,391.643135
11.001,20.100,201,18.271,221.249535,284.164095,377.749503,391.643135
12.001,21.900,219,18.248,222.298111,284.426239,377.749503,391.643135
13.001,23.600,236,18.152,222.429183,286.785535,377.749503,391.643135
14.001,25.300,253,18.070,222.953471,288.882687,377.749503,391.643135
15.001,27.000,270,17.999,222.822399,288.882687,377.749503,391.643135
16.001,28.700,287,17.936,223.608831,290.193407,391.643135,456.654847
17.001,30.400,304,17.881,223.870975,293.863423,385.613823,456.654847
18.001,32.100,321,17.832,224.788479,296.484863,390.856703,456.654847
19.002,33.700,337,17.735,225.968127,303.562751,390.856703,456.654847
20.002,35.100,351,17.549,226.754559,305.922047,391.643135,456.654847
21.002,36.900,369,17.570,226.754559,303.562751,391.643135,456.654847
22.002,38.600,386,17.544,227.016703,301.727743,391.643135,456.654847
23.002,40.100,401,17.433,227.803135,309.854207,403.439615,456.654847
24.002,41.700,417,17.374,228.851711,317.194239,403.439615,456.654847
25.002,43.400,434,17.359,228.720639,309.854207,403.439615,456.654847
26.002,45.100,451,17.345,228.851711,307.232767,403.439615,456.654847
27.002,46.800,468,17.332,228.851711,305.922047,403.439615,456.654847
28.002,48.600,486,17.356,228.851711,303.562751,403.439615,456.654847
29.002,50.400,504,17.378,228.720639,303.562751,391.643135,456.654847
30.002,52.100,521,17.365,228.065279,301.727743,391.643135,456.654847
31.002,53.900,539,17.386,227.803135,303.562751,391.643135,456.654847
32.002,55.700,557,17.405,227.803135,303.562751,403.439615,456.654847
33.003,57.400,574,17.393,227.803135,303.562751,403.439615,456.654847
34.003,59.100,591,17.381,228.065279,300.679167,403.439615,456.654847
35.003,60.900,609,17.399,228.720639,300.679167,391.643135,456.654847
36.003,62.500,625,17.360,228.851711,299.892735,391.643135,456.654847
37.003,64.300,643,17.377,228.851711,298.844159,391.643135,456.654847
38.003,66.000,660,17.367,228.982783,297.795583,391.643135,456.654847
39.003,67.800,678,17.383,228.982783,297.271295,391.643135,456.654847
40.003,69.500,695,17.374,229.113855,298.057727,391.643135,456.654847
41.003,71.400,714,17.413,228.851711,297.271295,390.856703,456.654847
42.003,73.100,731,17.403,228.851711,296.484863,390.856703,456.654847
43.003,74.900,749,17.417,229.113855,296.222719,390.856703,456.654847
44.003,76.700,767,17.430,228.851711,295.960575,390.856703,456.654847
45.004,78.500,785,17.443,228.851711,296.484863,390.856703,456.654847
46.004,80.200,802,17.433,228.982783,296.222719,388.497407,456.654847
47.004,81.900,819,17.424,228.982783,296.747007,388.497407,456.654847
48.004,83.700,837,17.436,228.982783,296.484863,388.497407,456.654847
49.004,85.400,854,17.427,228.851711,296.484863,388.497407,456.654847
50.004,87.100,871,17.419,228.982783,296.484863,388.497407,456.654847
51.004,88.800,888,17.410,228.982783,296.747007,388.497407,456.654847
52.004,90.600,906,17.422,228.982783,297.009151,385.613823,456.654847
53.004,92.400,924,17.433,228.851711,296.747007,385.613823,456.654847
54.004,94.100,941,17.425,228.982783,296.484863,385.613823,456.654847
55.004,95.800,958,17.417,229.113855,296.747007,385.613823,456.654847
56.004,97.600,976,17.427,229.113855,296.747007,385.613823,456.654847
57.005,99.500,995,17.455,228.982783,296.484863,385.613823,456.654847
57.481,100.000,1000,17.397,228.982783,296.222719,381.419519,456.654847
