time_s,progress,txns,rate_tps,p50_ms,p90_ms,p99_ms,max_ms
1.000,2.135,427,426.938,17.137663,22.527999,60.129279,91.619327
2.000,4.445,889,444.465,16.924671,21.823487,57.901055,91.619327
3.000,6.700,1340,446.634,16.703487,21.921791,56.524799,91.619327
4.000,8.970,1794,448.469,16.621567,21.725183,56.754175,91.619327
5.000,11.270,2254,450.770,16.588799,21.725183,56.492031,91.619327
6.000,13.570,2714,452.303,16.621567,21.512191,55.803903,91.619327
7.000,15.740,3148,449.683,16.678911,21.659647,56.459263,91.619327
8.001,18.030,3606,450.719,16.596991,21.626879,55.967743,91.619327
9.001,20.305,4061,451.190,16.580607,21.676031,55.967743,91.619327
10.001,22.525,4505,450.467,16.580607,21.676031,55.967743,91.619327
11.001,24.825,4965,451.330,16.556031,21.643263,55.967743,91.619327
12.001,26.955,5391,449.215,16.547839,21.790719,56.426495,91.619327
13.001,29.230,5846,449.658,16.556031,21.741567,56.295423,91.619327
14.001,31.515,6303,450.181,16.596991,21.659647,56.229887,91.619327
15.001,33.795,6759,450.567,16.588799,21.659647,55.967743,91.619327
16.001,36.050,7210,450.592,16.539647,21.692415,56.000511,91.619327
17.001,38.205,7641,449.437,16.531455,21.741567,56.229887,91.619327
18.001,40.475,8095,449.688,16.531455,21.774335,56.295423,91.619327
19.001,42.710,8542,449.545,16.531455,21.774335,56.328191,91.619327
20.002,45.005,9001,450.016,16.531455,21.741567,56.328191,91.619327
21.002,47.255,9451,450.014,16.523263,21.757951,56.328191,91.619327
22.002,49.485,9897,449.829,16.515071,21.790719,56.360959,91.619327
23.002,51.755,10351,450.010,16.515071,21.774335,56.328191,91.619327
24.002,53.985,10797,449.841,16.515071,21.790719,56.360959,91.619327
25.002,56.260,11252,450.045,16.482303,21.774335,56.360959,91.619327
26.002,58.455,11691,449.620,16.482303,21.807103,56.426495,91.619327
27.002,60.690,12138,449.522,16.506879,21.790719,56.459263,91.619327
28.002,62.985,12597,449.859,16.506879,21.774335,56.426495,91.619327
29.002,65.245,13049,449.932,16.490495,21.790719,56.393727,91.619327
30.002,67.510,13502,450.033,16.482303,21.790719,56.459263,91.619327
31.002,69.760,13952,450.031,16.482303,21.790719,56.426495,91.619327
32.002,72.045,14409,450.248,16.457727,21.790719,56.426495,91.619327
33.002,74.255,14851,449.997,16.441343,21.807103,56.492031,91.619327
34.002,76.425,15285,449.526,16.449535,21.856255,56.492031,91.619327
35.003,78.675,15735,449.539,16.457727,21.823487,56.459263,91.619327
36.003,80.910,16182,449.467,16.449535,21.823487,56.459263,91.619327
37.003,83.115,16623,449.237,16.457727,21.856255,56.524799,91.619327
38.003,85.400,17080,449.441,16.433151,21.839871,56.590335,91.619327
39.003,87.645,17529,449.429,16.424959,21.856255,56.688639,91.619327
40.003,89.925,17985,449.592,16.433151,21.839871,56.655871,91.619327
41.003,92.220,18444,449.821,16.424959,21.823487,56.590335,91.619327
42.003,94.510,18902,450.015,16.400383,21.823487,56.590335,91.619327
43.003,96.755,19351,449.991,16.400383,21.823487,56.590335,91.619327
44.003,98.970,19794,449.831,16.408575,21.839871,56.623103,91.619327
44.497,100.000,20000,449.464,16.424959,21.872639,56.590335,91.619327
